config_str,groups,communication,contention,pareto,cluster_kmeans,rep_kmeans
ad-checkout-currency-email-main-payment-productcat-recommendation_cart_shipping,3,0.1213921901528013,0.8672520470017903,False,3,True
ad-currency-email-main-payment-productcat_cart-checkout-recommendation-shipping,2,0.2130730050933785,0.8082564544057269,False,8,True
ad-email_cart_checkout-currency-main-productcat_payment-shipping_recommendation,5,0.2860780984719863,0.7529425240138634,False,4,True
ad-checkout-payment_cart-main-productcat-shipping_currency_email-recommendation,4,0.3794567062818336,0.7967989111912552,False,13,True
ad-main-productcat_cart-checkout-email-shipping_currency-payment_recommendation,4,0.400679117147708,0.7071715289552895,False,10,True
ad_cart-shipping_checkout-currency-email_main-payment-productcat_recommendation,5,0.4779286926994907,0.686909011836379,False,1,True
ad-cart-currency-main_checkout_email-shipping_payment-productcat_recommendation,5,0.6561969439728353,0.7877807921640078,False,5,True
ad-currency-main-payment_cart-checkout-recommendation-shipping_email_productcat,4,0.7266553480475384,0.7070011948790901,False,6,True
ad-checkout-email_cart-productcat_currency-main-payment_recommendation-shipping,4,0.8039049235993211,0.6638806241168461,False,12,True
ad-checkout-email-main-recommendation-shipping_cart_currency_payment-productcat,4,0.8302207130730053,0.7472328666869055,False,0,True
ad-email-main-payment-shipping_cart-checkout_currency_productcat-recommendation,4,0.8964346349745334,0.7110953277341755,False,14,True
ad-main_cart_checkout-currency-payment-shipping_email-productcat_recommendation,5,0.9193548387096776,0.6325216207247679,False,7,True
ad-main-shipping_cart-payment_checkout_currency-recommendation_email_productcat,6,0.9235993208828526,0.6616319227947265,False,11,True
ad_cart_checkout_currency_email_main-shipping_payment_productcat_recommendation,9,0.9864176570458408,0.6185113520324826,False,9,True
ad-recommendation_cart-checkout_currency-productcat-shipping_email-payment_main,5,0.9906621392190156,0.5894010499625241,False,2,True
